*** COUNTS ***
6234×2 DataFrame
  Row │ PM          N
      │ String15    Int64
──────┼───────────────────
  489 │ 1962/01/11      1
  490 │ 1962/01/15      1
  491 │ 1962/01/26      1
  492 │ 1962/02/01      5
  493 │ 1962/02/23      1
  494 │ 1962/02/24      1
  495 │ 1962/03/01      3
  496 │ 1962/03/03      1
  497 │ 1962/04/01      2
  498 │ 1962/04/21      1
  499 │ 1962/04/27      1
  500 │ 1962/05/01      9
  501 │ 1962/05/24      1
  502 │ 1962/06/01      7
  503 │ 1962/06/16      1
  504 │ 1962/06/18      1
  505 │ 1962/07/01     10
  506 │ 1962/07/13      1
  507 │ 1962/07/27      1
  508 │ 1962/08/01      1
  509 │ 1962/08/11      1
  510 │ 1962/09/01     10
  511 │ 1962/09/30      1
  512 │ 1962/10/01      2
  513 │ 1962/10/05      1
  514 │ 1962/10/06      1
  515 │ 1962/11/01      1
  516 │ 1962/11/23      1
  517 │ 1962/12/01      4
  518 │ 1962/12/06      1
  519 │ 1963/01/01     26
  520 │ 1963/01/11      1
  521 │ 1963/01/26      1
  522 │ 1963/02/01      3
  523 │ 1963/02/02      1
  524 │ 1963/02/09      2
  525 │ 1963/02/17      1
  526 │ 1963/03/01      4
  527 │ 1963/03/22      1
  528 │ 1963/04/01      7
  529 │ 1963/04/08      1
  530 │ 1963/04/20      1
  531 │ 1963/05/01     12
  532 │ 1963/05/17      1
  533 │ 1963/05/31      1
  534 │ 1963/06/01      3
  535 │ 1963/06/15      2
  536 │ 1963/06/22      1
  537 │ 1963/07/01     15
  538 │ 1963/07/08      1
  539 │ 1963/07/15      1
  540 │ 1963/07/16      1
  541 │ 1963/07/27      1
  542 │ 1963/07/31      1
  543 │ 1963/08/01      9
  544 │ 1963/08/17      2
  545 │ 1963/08/24      1
  546 │ 1963/08/31      1
  547 │ 1963/09/01     15
  548 │ 1963/09/14      1
  549 │ 1963/09/23      1
  550 │ 1963/10/01     17
  551 │ 1963/10/10      1
  552 │ 1963/11/01     20
  553 │ 1963/11/05      1
  554 │ 1963/11/08      1
  555 │ 1963/11/15      1
  556 │ 1963/12/01     11
  557 │ 1963/12/09      1
  558 │ 1963/12/13      1
  559 │ 1963/12/22      1
  560 │ 1963/12/23      1
  561 │ 1963/12/31      1
  562 │ 1964/01/01     49
  563 │ 1964/01/02      1
  564 │ 1964/01/04      1
  565 │ 1964/01/10      1
  566 │ 1964/02/01     16
  567 │ 1964/02/21      1
  568 │ 1964/02/22      1
  569 │ 1964/03/01     16
  570 │ 1964/03/20      1
  571 │ 1964/03/21      1
  572 │ 1964/04/01     14
  573 │ 1964/04/10      1
  574 │ 1964/04/11      1
  575 │ 1964/04/17      2
  576 │ 1964/04/18      3
  577 │ 1964/04/25      1
  578 │ 1964/05/01     10
  579 │ 1964/05/02      1
  580 │ 1964/05/21      1
  581 │ 1964/05/22      1
  582 │ 1964/05/23      1
  583 │ 1964/06/01      8
  584 │ 1964/06/15      1
  585 │ 1964/06/20      1
  586 │ 1964/06/21      1
  587 │ 1964/07/01     13
  588 │ 1964/07/04      1
  589 │ 1964/07/05      1
  590 │ 1964/07/11      1
  591 │ 1964/08/01      6
  592 │ 1964/08/15      2
  593 │ 1964/08/21      1
  594 │ 1964/08/22      1
  595 │ 1964/08/29      2
  596 │ 1964/09/01     17
  597 │ 1964/09/05      3
  598 │ 1964/10/01      9
  599 │ 1964/10/03      1
  600 │ 1964/10/22      1
  601 │ 1964/10/30      1
  602 │ 1964/10/31      1
  603 │ 1964/11/01     12
  604 │ 1964/11/05      1
  605 │ 1964/11/06      1
  606 │ 1964/11/07      1
  607 │ 1964/11/14      1
  608 │ 1964/11/21      1
  609 │ 1964/11/24      2
  610 │ 1964/11/28      2
