*** COUNTS ***
823×2 DataFrame
 Row │ PM          N
     │ String15    Int64
─────┼───────────────────
 274 │ 2020/10/14    239
 275 │ 2020/10/15    261
 276 │ 2020/10/16    243
 277 │ 2020/10/17    353
 278 │ 2020/10/18    172
 279 │ 2020/10/19     99
 280 │ 2020/10/20    403
 281 │ 2020/10/21    283
 282 │ 2020/10/22    324
 283 │ 2020/10/23    317
 284 │ 2020/10/24    254
 285 │ 2020/10/25    122
 286 │ 2020/10/26     66
 287 │ 2020/10/27    383
 288 │ 2020/10/28    208
 289 │ 2020/10/29    350
 290 │ 2020/10/30    361
 291 │ 2020/10/31    368
 292 │ 2020/11/01    173
 293 │ 2020/11/02    143
 294 │ 2020/11/03    376
 295 │ 2020/11/04    261
 296 │ 2020/11/05    262
 297 │ 2020/11/06    289
 298 │ 2020/11/07    291
 299 │ 2020/11/08    123
 300 │ 2020/11/09    119
 301 │ 2020/11/10    351
 302 │ 2020/11/11    297
 303 │ 2020/11/12    310
 304 │ 2020/11/13    303
 305 │ 2020/11/14    307
 306 │ 2020/11/15    116
 307 │ 2020/11/16     85
 308 │ 2020/11/17    476
 309 │ 2020/11/18    291
 310 │ 2020/11/19    283
 311 │ 2020/11/20    317
 312 │ 2020/11/21    358
 313 │ 2020/11/22    164
 314 │ 2020/11/23    107
 315 │ 2020/11/24    360
 316 │ 2020/11/25    319
 317 │ 2020/11/26    295
 318 │ 2020/11/27    226
 319 │ 2020/11/28    223
 320 │ 2020/11/29    122
 321 │ 2020/11/30     93
 322 │ 2020/12/01    327
 323 │ 2020/12/02    374
 324 │ 2020/12/03    300
 325 │ 2020/12/04    260
 326 │ 2020/12/05    295
 327 │ 2020/12/06    151
 328 │ 2020/12/07     71
 329 │ 2020/12/08    354
 330 │ 2020/12/09    236
 331 │ 2020/12/10    386
 332 │ 2020/12/11    275
 333 │ 2020/12/12    267
 334 │ 2020/12/15    568
 335 │ 2020/12/16    300
 336 │ 2020/12/17    315
 337 │ 2020/12/18    449
 338 │ 2020/12/19    305
 339 │ 2020/12/20    114
 340 │ 2020/12/21     78
 341 │ 2020/12/22    292
 342 │ 2020/12/23    297
 343 │ 2020/12/24    183
 344 │ 2020/12/29    838
 345 │ 2020/12/30    187
 346 │ 2020/12/31    223
 347 │ 2021/01/01    265
 348 │ 2021/01/02    121
 349 │ 2021/01/03    113
 350 │ 2021/01/04    127
 351 │ 2021/01/05    410
 352 │ 2021/01/06    337
 353 │ 2021/01/07    290
 354 │ 2021/01/08    329
 355 │ 2021/01/09    341
 356 │ 2021/01/10    166
 357 │ 2021/01/11     90
 358 │ 2021/01/12    414
 359 │ 2021/01/13    291
 360 │ 2021/01/14    291
 361 │ 2021/01/15    244
 362 │ 2021/01/16    284
 363 │ 2021/01/17    133
 364 │ 2021/01/18     62
 365 │ 2021/01/19    281
 366 │ 2021/01/20    255
 367 │ 2021/01/21    324
 368 │ 2021/01/22    237
 369 │ 2021/01/23    352
 370 │ 2021/01/24    143
 371 │ 2021/01/25    108
 372 │ 2021/01/26    369
 373 │ 2021/01/27    255
 374 │ 2021/01/28    266
 375 │ 2021/01/29    276
 376 │ 2021/01/30    288
 377 │ 2021/01/31    137
 378 │ 2021/02/01     75
 379 │ 2021/02/02    629
 380 │ 2021/02/03    358
 381 │ 2021/02/04    314
 382 │ 2021/02/05    316
 383 │ 2021/02/06    276
 384 │ 2021/02/07    178
 385 │ 2021/02/08    127
 386 │ 2021/02/09    430
 387 │ 2021/02/10    335
 388 │ 2021/02/11    317
 389 │ 2021/02/12    281
 390 │ 2021/02/13    381
 391 │ 2021/02/14    144
 392 │ 2021/02/15     96
 393 │ 2021/02/16    364
 394 │ 2021/02/17    226
 395 │ 2021/02/18    270
 396 │ 2021/02/19    269
 397 │ 2021/02/20    394
 398 │ 2021/02/21    133
 399 │ 2021/02/22    102
 400 │ 2021/02/23    455
 401 │ 2021/02/24    235
 402 │ 2021/02/25    427
 403 │ 2021/02/26    301
 404 │ 2021/02/27    314
 405 │ 2021/02/28    168
 406 │ 2021/03/01    140
 407 │ 2021/03/02    418
 408 │ 2021/03/03    257
 409 │ 2021/03/04    323
 410 │ 2021/03/05    338
 411 │ 2021/03/06    276
 412 │ 2021/03/07    402
 413 │ 2021/03/08     79
