*** COUNTS ***
4732×2 DataFrame
  Row │ DP                 N
      │ String31           Int64
──────┼──────────────────────────
  367 │ 1956 May-Jun           1
  368 │ 1956 Nov               5
  369 │ 1956 Nov 10            1
  370 │ 1956 Nov 28            1
  371 │ 1956 Nov 8             1
  372 │ 1956 Oct               3
  373 │ 1956 Oct 20            1
  374 │ 1956 Sep               3
  375 │ 1956 Sep 17            1
  376 │ 1956 Sep 6             1
  377 │ 1957                  17
  378 │ 1957 Apr               2
  379 │ 1957 Apr 11            1
  380 │ 1957 Aug               3
  381 │ 1957 Aug 10            1
  382 │ 1957 Aug 18            1
  383 │ 1957 Aug 23            1
  384 │ 1957 Aug 4             1
  385 │ 1957 Aug-Sep           1
  386 │ 1957 Dec               1
  387 │ 1957 Dec 20            1
  388 │ 1957 Dec 7             1
  389 │ 1957 Feb               2
  390 │ 1957 Feb 10            1
  391 │ 1957 Feb 15            1
  392 │ 1957 Jan               3
  393 │ 1957 Jan 4             1
  394 │ 1957 Jan-Feb           1
  395 │ 1957 Jul               4
  396 │ 1957 Jul 13            1
  397 │ 1957 Jul 19            1
  398 │ 1957 Jul-Aug           1
  399 │ 1957 Jun               1
  400 │ 1957 Jun 20            1
  401 │ 1957 Jun 27            1
  402 │ 1957 Mar               3
  403 │ 1957 Mar 30            1
  404 │ 1957 May 11            1
  405 │ 1957 Nov               2
  406 │ 1957 Nov 1             1
  407 │ 1957 Nov 28            1
  408 │ 1957 Nov 30            1
  409 │ 1957 Nov 8             1
  410 │ 1957 Nov-Dec           2
  411 │ 1957 Oct               7
  412 │ 1957 Oct 19            1
  413 │ 1957 Oct 21            1
  414 │ 1957 Oct-Dec           1
  415 │ 1957 Sep               3
  416 │ 1957 Sep 5             1
  417 │ 1957 Sep-Oct           1
  418 │ 1958                   9
  419 │ 1958 Apr               6
  420 │ 1958 Apr 1             1
  421 │ 1958 Apr 18            1
  422 │ 1958 Apr 30            1
  423 │ 1958 Apr-Jun           1
  424 │ 1958 Aug               3
  425 │ 1958 Aug 22            1
  426 │ 1958 Dec               7
  427 │ 1958 Dec 1             1
  428 │ 1958 Dec 5             1
  429 │ 1958 Feb               1
  430 │ 1958 Feb 1             1
  431 │ 1958 Jan               6
  432 │ 1958 Jan 16            1
  433 │ 1958 Jan 22            1
  434 │ 1958 Jan 24            1
  435 │ 1958 Jul               6
  436 │ 1958 Jul 1             1
  437 │ 1958 Jul 31            1
  438 │ 1958 Jul-Aug           1
  439 │ 1958 Jun               3
  440 │ 1958 Mar               5
  441 │ 1958 Mar 15            1
  442 │ 1958 Mar 17            2
  443 │ 1958 Mar 20            1
  444 │ 1958 Mar 24            1
  445 │ 1958 Mar 4-11          1
  446 │ 1958 May               7
  447 │ 1958 May 1             1
  448 │ 1958 May 12            1
  449 │ 1958 May-Jun           2
  450 │ 1958 Nov               6
  451 │ 1958 Nov 1             1
  452 │ 1958 Oct               3
  453 │ 1958 Oct 10-17         1
  454 │ 1958 Oct 12            1
  455 │ 1958 Oct 15            3
  456 │ 1958 Oct 2             1
  457 │ 1958 Oct 3             1
  458 │ 1958 Oct 30            1
  459 │ 1958 Sep               5
  460 │ 1958 Sep 18            1
  461 │ 1959                  18
  462 │ 1959 Apr               2
  463 │ 1959 Apr 16            2
  464 │ 1959 Apr 21            1
  465 │ 1959 Apr 24            1
  466 │ 1959 Apr 7             1
  467 │ 1959 Aug               1
  468 │ 1959 Aug 25            1
  469 │ 1959 Dec               2
  470 │ 1959 Dec 1             1
  471 │ 1959 Dec 19            1
  472 │ 1959 Dec 26            1
  473 │ 1959 Dec 28            1
  474 │ 1959 Feb               4
  475 │ 1959 Feb 23            1
  476 │ 1959 Feb-Mar           1
  477 │ 1959 Jan               4
  478 │ 1959 Jan 1             1
  479 │ 1959 Jan 17            2
  480 │ 1959 Jan 2             1
  481 │ 1959 Jan-Feb           2
  482 │ 1959 Jan-Mar           1
  483 │ 1959 Jul               5
  484 │ 1959 Jul 13            1
  485 │ 1959 Jul 31            1
  486 │ 1959 Jul-Sep           1
  487 │ 1959 Jun               2
  488 │ 1959 Jun 15            1
  489 │ 1959 Jun 27            1
  490 │ 1959 Mar               3
  491 │ 1959 Mar 24            1
  492 │ 1959 Mar-Apr           1
  493 │ 1959 May               6
  494 │ 1959 May 1             1
  495 │ 1959 May 14            1
  496 │ 1959 May 16            1
  497 │ 1959 May-Jun           2
  498 │ 1959 Nov               2
  499 │ 1959 Nov 15            1
  500 │ 1959 Nov 5             1
  501 │ 1959 Nov-Dec           2
  502 │ 1959 Oct               4
  503 │ 1959 Oct 16            1
  504 │ 1959 Oct 17            1
  505 │ 1959 Oct 30            1
