*** COUNTS ***
4732×2 DataFrame
  Row │ DP                 N
      │ String31           Int64
──────┼──────────────────────────
 1638 │ 1981 Jul-Sep           1
 1639 │ 1981 Jun              11
 1640 │ 1981 Jun 13            1
 1641 │ 1981 Jun 6             1
 1642 │ 1981 Mar              12
 1643 │ 1981 May               9
 1644 │ 1981 Nov               6
 1645 │ 1981 Nov-Dec           1
 1646 │ 1981 Oct               7
 1647 │ 1981 Oct-Dec           2
 1648 │ 1981 Sep               8
 1649 │ 1981 Sep 19            1
 1650 │ 1982                  31
 1651 │ 1982 Apr               7
 1652 │ 1982 Apr 15            1
 1653 │ 1982 Apr 5             1
 1654 │ 1982 Apr-Jun           2
 1655 │ 1982 Aug               2
 1656 │ 1982 Aug 1             1
 1657 │ 1982 Dec               8
 1658 │ 1982 Dec 15            2
 1659 │ 1982 Feb               7
 1660 │ 1982 Feb 25            1
 1661 │ 1982 Jan               2
 1662 │ 1982 Jan 11            1
 1663 │ 1982 Jan 15            1
 1664 │ 1982 Jan 23            1
 1665 │ 1982 Jan 31            1
 1666 │ 1982 Jan-Feb           1
 1667 │ 1982 Jan-Mar           3
 1668 │ 1982 Jul               7
 1669 │ 1982 Jul 1             1
 1670 │ 1982 Jul 10            1
 1671 │ 1982 Jul 22            1
 1672 │ 1982 Jul-Aug           2
 1673 │ 1982 Jul-Sep           1
 1674 │ 1982 Jun               6
 1675 │ 1982 Jun 12            2
 1676 │ 1982 Jun 15            2
 1677 │ 1982 Jun 29            1
 1678 │ 1982 Jun 4             1
 1679 │ 1982 Mar               9
 1680 │ 1982 Mar 12            1
 1681 │ 1982 Mar 22            1
 1682 │ 1982 Mar 6             2
 1683 │ 1982 May               3
 1684 │ 1982 May 20            1
 1685 │ 1982 May-Jun           2
 1686 │ 1982 Nov              11
 1687 │ 1982 Oct               3
 1688 │ 1982 Oct 1             1
 1689 │ 1982 Oct 28            1
 1690 │ 1982 Oct 8             1
 1691 │ 1982 Sep               7
 1692 │ 1982 Sep 16            1
 1693 │ 1982 Spring            1
 1694 │ 1983                  31
 1695 │ 1983 Apr               4
 1696 │ 1983 Apr-Jun           4
 1697 │ 1983 Aug               4
 1698 │ 1983 Dec               6
 1699 │ 1983 Dec 1             1
 1700 │ 1983 Feb               6
 1701 │ 1983 Jan               7
 1702 │ 1983 Jan 1             1
 1703 │ 1983 Jan 21            1
 1704 │ 1983 Jan 6             2
 1705 │ 1983 Jan-Feb           2
 1706 │ 1983 Jul               1
 1707 │ 1983 Jul 11-18         1
 1708 │ 1983 Jul-Aug           3
 1709 │ 1983 Jul-Sep           2
 1710 │ 1983 Jun               6
 1711 │ 1983 Jun 10            1
 1712 │ 1983 Jun 25            1
 1713 │ 1983 Mar               5
 1714 │ 1983 Mar 14            1
 1715 │ 1983 Mar-Apr           1
 1716 │ 1983 May               7
 1717 │ 1983 May 10            1
 1718 │ 1983 May 27            1
 1719 │ 1983 Nov              14
 1720 │ 1983 Nov 1             1
 1721 │ 1983 Nov 11            1
 1722 │ 1983 Nov 15            2
 1723 │ 1983 Nov 27            1
 1724 │ 1983 Nov 5             1
 1725 │ 1983 Nov-Dec           2
 1726 │ 1983 Oct              14
 1727 │ 1983 Oct 6             1
 1728 │ 1983 Sep               7
 1729 │ 1983 Sep 1             1
 1730 │ 1983 Sep 16            1
 1731 │ 1983 Sep 9             1
 1732 │ 1984                  24
 1733 │ 1984 Apr               7
 1734 │ 1984 Apr 14            1
 1735 │ 1984 Apr 28            1
 1736 │ 1984 Apr-Jun           2
 1737 │ 1984 Aug               7
 1738 │ 1984 Aug 1             1
 1739 │ 1984 Dec              12
 1740 │ 1984 Dec 1             1
 1741 │ 1984 Dec 31            1
 1742 │ 1984 Dec 8             1
 1743 │ 1984 Feb               5
 1744 │ 1984 Feb 15            2
 1745 │ 1984 Feb 3             1
 1746 │ 1984 Jan               8
 1747 │ 1984 Jan 13            1
 1748 │ 1984 Jul              11
 1749 │ 1984 Jul-Aug           1
 1750 │ 1984 Jun              11
 1751 │ 1984 Jun 1             1
 1752 │ 1984 Jun 10            1
 1753 │ 1984 Jun 14            1
 1754 │ 1984 Jun 15            1
 1755 │ 1984 Mar               4
 1756 │ 1984 Mar 1             2
 1757 │ 1984 Mar 15            2
 1758 │ 1984 Mar-Apr           3
 1759 │ 1984 May              11
 1760 │ 1984 May 1             1
 1761 │ 1984 May 10            1
 1762 │ 1984 May 15            1
 1763 │ 1984 May-Jun           1
 1764 │ 1984 Nov              10
 1765 │ 1984 Nov 17            1
 1766 │ 1984 Nov-Dec           1
 1767 │ 1984 Oct               9
 1768 │ 1984 Oct 15            1
 1769 │ 1984 Oct 31            1
 1770 │ 1984 Oct-Dec           2
 1771 │ 1984 Sep               8
 1772 │ 1984 Sep 29            1
 1773 │ 1984 Sep 30            1
 1774 │ 1984 Sep-Oct           2
 1775 │ 1985                  52
 1776 │ 1985 Apr               9
 1777 │ 1985 Apr 15            1
 1778 │ 1985 Apr 4             1
 1779 │ 1985 Apr 6             1
 1780 │ 1985 Apr-Jun           1
 1781 │ 1985 Aug               7
 1782 │ 1985 Aug 15            1
 1783 │ 1985 Dec               8
 1784 │ 1985 Dec 15            1
 1785 │ 1985 Feb              17
 1786 │ 1985 Jan               4
 1787 │ 1985 Jan-Feb           2
 1788 │ 1985 Jan-Mar           1
 1789 │ 1985 Jul              11
 1790 │ 1985 Jul 15            1
 1791 │ 1985 Jul-Aug           2
 1792 │ 1985 Jul-Sep           1
 1793 │ 1985 Jun              14
 1794 │ 1985 Jun 1             1
 1795 │ 1985 Jun 15            1
 1796 │ 1985 Mar               7
 1797 │ 1985 Mar-Apr           1
 1798 │ 1985 May               8
 1799 │ 1985 May 1             1
 1800 │ 1985 May 18            1
 1801 │ 1985 May-Jun           4
 1802 │ 1985 Nov              12
 1803 │ 1985 Nov 23            1
 1804 │ 1985 Nov 4             1
 1805 │ 1985 Nov-Dec           1
 1806 │ 1985 Oct               7
 1807 │ 1985 Oct 12            1
 1808 │ 1985 Oct 15            1
 1809 │ 1985 Oct 31            1
 1810 │ 1985 Sep              10
 1811 │ 1985 Sep 29            1
 1812 │ 1985 Sep 7             1
 1813 │ 1985 Winter            1
 1814 │ 1986                  25
 1815 │ 1986 Apr              14
 1816 │ 1986 Apr 26            1
 1817 │ 1986 Aug              14
 1818 │ 1986 Aug 15            1
 1819 │ 1986 Aug 9             1
 1820 │ 1986 Dec              14
 1821 │ 1986 Dec 4             1
 1822 │ 1986 Feb               8
 1823 │ 1986 Feb 15            1
 1824 │ 1986 Feb 17            1
 1825 │ 1986 Feb 28            1
 1826 │ 1986 Feb-Mar           1
 1827 │ 1986 Jan               3
 1828 │ 1986 Jan 24            1
 1829 │ 1986 Jan 31            1
 1830 │ 1986 Jan-Feb           6
 1831 │ 1986 Jan-Mar           2
 1832 │ 1986 Jul              12
 1833 │ 1986 Jul 12            1
 1834 │ 1986 Jul 15            1
 1835 │ 1986 Jul-Aug           2
 1836 │ 1986 Jul-Sep           2
 1837 │ 1986 Jun              19
 1838 │ 1986 Jun 7             2
 1839 │ 1986 Mar              14
 1840 │ 1986 Mar 1             1
 1841 │ 1986 Mar 15            1
 1842 │ 1986 Mar 28            1
 1843 │ 1986 Mar-Apr           4
 1844 │ 1986 May               7
 1845 │ 1986 May 15            1
 1846 │ 1986 May 17            1
 1847 │ 1986 May 28            1
 1848 │ 1986 May 8             1
 1849 │ 1986 May-Jun           6
 1850 │ 1986 Nov               9
 1851 │ 1986 Nov 20            1
 1852 │ 1986 Nov 21            1
 1853 │ 1986 Nov-Dec           2
 1854 │ 1986 Oct              11
 1855 │ 1986 Oct 1             1
 1856 │ 1986 Oct-Dec           1
 1857 │ 1986 Sep               9
 1858 │ 1986 Sep 1             1
 1859 │ 1986 Sep 10            1
 1860 │ 1986 Sep 15            1
 1861 │ 1986 Sep 5             1
 1862 │ 1986 Sep-Oct           4
 1863 │ 1987                  32
 1864 │ 1987 Apr               7
 1865 │ 1987 Apr 1             1
 1866 │ 1987 Apr 15            1
 1867 │ 1987 Aug               4
 1868 │ 1987 Aug 1             1
 1869 │ 1987 Dec              11
 1870 │ 1987 Dec 1             1
 1871 │ 1987 Dec 12            1
 1872 │ 1987 Feb               7
 1873 │ 1987 Feb 4             1
 1874 │ 1987 Jan              11
 1875 │ 1987 Jan-Mar           1
 1876 │ 1987 Jul               6
 1877 │ 1987 Jul-Aug           1
 1878 │ 1987 Jun              11
 1879 │ 1987 Jun 15            1
 1880 │ 1987 Mar               7
 1881 │ 1987 Mar 22            1
 1882 │ 1987 Mar 23            1
 1883 │ 1987 May              11
 1884 │ 1987 May 30            1
 1885 │ 1987 Nov              10
 1886 │ 1987 Nov 14            1
 1887 │ 1987 Nov 27            1
 1888 │ 1987 Nov-Dec           1
 1889 │ 1987 Oct               9
 1890 │ 1987 Oct 31            1
 1891 │ 1987 Oct-Dec           1
 1892 │ 1987 Sep               9
 1893 │ 1987 Sep-Oct           4
 1894 │ 1987-1988              2
 1895 │ 1988                  47
 1896 │ 1988 Apr              11
 1897 │ 1988 Apr 15            1
 1898 │ 1988 Apr 2             1
 1899 │ 1988 Apr-Jun           1
 1900 │ 1988 Aug              12
 1901 │ 1988 Aug 1             2
 1902 │ 1988 Aug 15            1
 1903 │ 1988 Aug 30            1
 1904 │ 1988 Aug 6             1
 1905 │ 1988 Dec              13
 1906 │ 1988 Dec 16            3
 1907 │ 1988 Dec 17            1
 1908 │ 1988 Feb               9
 1909 │ 1988 Feb 4             1
 1910 │ 1988 Jan              10
 1911 │ 1988 Jan 1             2
 1912 │ 1988 Jan 2             1
 1913 │ 1988 Jul               6
 1914 │ 1988 Jul-Sep           2
 1915 │ 1988 Jun              15
 1916 │ 1988 Jun 1             2
 1917 │ 1988 Jun 15            1
 1918 │ 1988 Jun 8             1
 1919 │ 1988 Mar               8
 1920 │ 1988 Mar 12            1
 1921 │ 1988 Mar-Apr           1
 1922 │ 1988 May              12
 1923 │ 1988 May 1             1
 1924 │ 1988 Nov              13
 1925 │ 1988 Nov 1             1
 1926 │ 1988 Nov 26            1
 1927 │ 1988 Oct               8
 1928 │ 1988 Oct 1             3
 1929 │ 1988 Oct 22            1
 1930 │ 1988 Oct 29            1
 1931 │ 1988 Oct 7             1
 1932 │ 1988 Oct-Dec           1
 1933 │ 1988 Sep               7
 1934 │ 1988 Sep 10            1
 1935 │ 1988 Sep 15            1
 1936 │ 1989                  44
 1937 │ 1989 Apr              14
 1938 │ 1989 Apr 1             1
 1939 │ 1989 Apr 15            3
 1940 │ 1989 Apr-Jun           1
 1941 │ 1989 Aug               8
 1942 │ 1989 Aug 1             1
 1943 │ 1989 Aug 15            3
 1944 │ 1989 Dec               7
 1945 │ 1989 Dec 1             1
 1946 │ 1989 Dec 16            1
 1947 │ 1989 Dec 30            1
 1948 │ 1989 Feb              15
 1949 │ 1989 Feb 1             1
 1950 │ 1989 Feb 15            1
 1951 │ 1989 Jan              18
 1952 │ 1989 Jan 14            1
 1953 │ 1989 Jan 15            1
 1954 │ 1989 Jan 21            1
 1955 │ 1989 Jan 6             1
 1956 │ 1989 Jan-Feb           1
 1957 │ 1989 Jan-Mar           2
 1958 │ 1989 Jul               5
 1959 │ 1989 Jul-Aug           2
 1960 │ 1989 Jul-Sep           1
 1961 │ 1989 Jun              12
 1962 │ 1989 Jun 1             1
 1963 │ 1989 Jun 24            1
 1964 │ 1989 Mar               9
 1965 │ 1989 Mar 1             4
 1966 │ 1989 Mar 10            1
 1967 │ 1989 Mar 25            1
 1968 │ 1989 May               7
 1969 │ 1989 May 1             3
 1970 │ 1989 May 20            2
 1971 │ 1989 May-Jun           2
 1972 │ 1989 Nov              13
 1973 │ 1989 Nov 1             1
 1974 │ 1989 Nov-Dec           3
 1975 │ 1989 Oct              10
 1976 │ 1989 Oct 1             1
 1977 │ 1989 Oct 22            1
 1978 │ 1989 Oct 27            1
 1979 │ 1989 Oct-Dec           1
 1980 │ 1989 Sep              11
 1981 │ 1989 Sep 15            1
 1982 │ 1989 Sep 27            1
 1983 │ 1989 Sep-Oct           2
 1984 │ 1989 Summer            1
 1985 │ 1990                  42
 1986 │ 1990 Apr              15
 1987 │ 1990 Apr 10            2
 1988 │ 1990 Apr 14            1
 1989 │ 1990 Apr 15            1
 1990 │ 1990 Aug              13
 1991 │ 1990 Aug 1             1
 1992 │ 1990 Aug 4             1
 1993 │ 1990 Aug 6             1
 1994 │ 1990 Aug 8             1
 1995 │ 1990 Dec              11
 1996 │ 1990 Dec 1             1
 1997 │ 1990 Dec 15            2
 1998 │ 1990 Feb              17
 1999 │ 1990 Feb 15            1
 2000 │ 1990 Feb 3             1
 2001 │ 1990 Jan              16
 2002 │ 1990 Jan 20            1
 2003 │ 1990 Jan-Feb           2
 2004 │ 1990 Jan-Mar           1
 2005 │ 1990 Jul              19
 2006 │ 1990 Jul 15            1
 2007 │ 1990 Jul-Aug           1
 2008 │ 1990 Jul-Sep           2
 2009 │ 1990 Jun              10
 2010 │ 1990 Mar              16
 2011 │ 1990 Mar 1             1
 2012 │ 1990 Mar 10            1
 2013 │ 1990 Mar 15            1
 2014 │ 1990 Mar 28            1
 2015 │ 1990 Mar 30            1
 2016 │ 1990 May              11
 2017 │ 1990 May 10            1
 2018 │ 1990 May 19            1
 2019 │ 1990 May 27            1
 2020 │ 1990 May-Jun           3
 2021 │ 1990 Nov              10
 2022 │ 1990 Nov 1             1
 2023 │ 1990 Nov 17            1
 2024 │ 1990 Nov 29            2
 2025 │ 1990 Nov-Dec           2
 2026 │ 1990 Oct              13
 2027 │ 1990 Oct 1             1
 2028 │ 1990 Oct 15            1
 2029 │ 1990 Oct 27            2
 2030 │ 1990 Oct 6             1
 2031 │ 1990 Oct-Dec           1
 2032 │ 1990 Sep              16
 2033 │ 1990 Sep 15            1
 2034 │ 1990 Sep 3             1
 2035 │ 1990 Sep 3-10          1
 2036 │ 1990 Sep-Oct           4
 2037 │ 1991                  29
 2038 │ 1991 Apr              16
 2039 │ 1991 Apr 25            1
 2040 │ 1991 Apr-Jun           1
 2041 │ 1991 Aug              50
 2042 │ 1991 Aug 1             2
 2043 │ 1991 Dec               9
 2044 │ 1991 Dec 16            1
 2045 │ 1991 Feb              14
 2046 │ 1991 Feb 15            1
 2047 │ 1991 Jan              14
 2048 │ 1991 Jan 19            1
 2049 │ 1991 Jan 30            2
 2050 │ 1991 Jan 4             1
 2051 │ 1991 Jan-Feb           1
 2052 │ 1991 Jan-Jun           1
 2053 │ 1991 Jul               5
 2054 │ 1991 Jul 16            1
 2055 │ 1991 Jun               8
 2056 │ 1991 Jun 18            1
 2057 │ 1991 Jun 20            1
 2058 │ 1991 Jun 25            6
 2059 │ 1991 Mar               8
 2060 │ 1991 Mar 1             1
 2061 │ 1991 Mar 15            1
 2062 │ 1991 Mar 2             2
 2063 │ 1991 Mar 4             1
 2064 │ 1991 Mar-Apr           1
 2065 │ 1991 May              12
 2066 │ 1991 May 6-20          1
 2067 │ 1991 May-Jun           3
 2068 │ 1991 Nov              11
 2069 │ 1991 Nov-Dec           3
 2070 │ 1991 Oct               7
 2071 │ 1991 Oct 1             1
 2072 │ 1991 Oct 15            2
 2073 │ 1991 Oct 26            2
 2074 │ 1991 Sep               8
 2075 │ 1991 Sep 10            1
 2076 │ 1991 Sep-Oct           3
 2077 │ 1991-1992              1
 2078 │ 1992                  24
 2079 │ 1992 Apr              16
 2080 │ 1992 Apr 1             1
 2081 │ 1992 Apr 7             1
 2082 │ 1992 Apr-Jun           1
 2083 │ 1992 Aug              15
 2084 │ 1992 Aug 11            1
 2085 │ 1992 Aug 15            1
 2086 │ 1992 Dec               8
 2087 │ 1992 Feb              16
 2088 │ 1992 Feb 1             1
 2089 │ 1992 Feb 10            1
 2090 │ 1992 Feb 15            1
 2091 │ 1992 Feb 16            1
 2092 │ 1992 Jan              13
 2093 │ 1992 Jan 1             1
 2094 │ 1992 Jan 31            1
 2095 │ 1992 Jan-Feb           1
 2096 │ 1992 Jul              10
 2097 │ 1992 Jul 4             1
 2098 │ 1992 Jul-Aug           1
 2099 │ 1992 Jun               8
 2100 │ 1992 Jun 15            1
 2101 │ 1992 Jun 27            1
 2102 │ 1992 Mar               9
 2103 │ 1992 Mar 1             1
 2104 │ 1992 Mar 15            1
 2105 │ 1992 Mar 17            1
 2106 │ 1992 Mar 28            1
 2107 │ 1992 Mar-Apr           2
 2108 │ 1992 May              10
 2109 │ 1992 May 15            1
 2110 │ 1992 May 16            1
 2111 │ 1992 May 25            1
 2112 │ 1992 May-Jun           3
 2113 │ 1992 Nov               9
 2114 │ 1992 Nov 1             1
 2115 │ 1992 Nov 10            1
 2116 │ 1992 Nov 20            1
 2117 │ 1992 Nov 25            1
 2118 │ 1992 Nov 5             1
 2119 │ 1992 Nov-Dec           2
 2120 │ 1992 Oct              17
 2121 │ 1992 Oct 21            1
 2122 │ 1992 Oct-Dec           1
 2123 │ 1992 Sep               3
 2124 │ 1992 Sep 10            1
 2125 │ 1992 Sep 8             1
 2126 │ 1992 Sep-Oct           1
 2127 │ 1993                  41
 2128 │ 1993 Apr              16
 2129 │ 1993 Apr 15            1
 2130 │ 1993 Apr 24            1
 2131 │ 1993 Apr 3             1
 2132 │ 1993 Apr 7             1
 2133 │ 1993 Aug              21
 2134 │ 1993 Aug 1             1
 2135 │ 1993 Aug 12            1
 2136 │ 1993 Aug 15            1
 2137 │ 1993 Aug 2-16          1
 2138 │ 1993 Aug 22            1
 2139 │ 1993 Dec              15
 2140 │ 1993 Dec 1             1
 2141 │ 1993 Dec 11            2
 2142 │ 1993 Dec 13            1
 2143 │ 1993 Dec 15            1
 2144 │ 1993 Feb               7
 2145 │ 1993 Feb 10            1
 2146 │ 1993 Feb 13            1
 2147 │ 1993 Feb 15            1
 2148 │ 1993 Feb 17            1
 2149 │ 1993 Jan               5
 2150 │ 1993 Jan 14            1
 2151 │ 1993 Jan-Feb           1
 2152 │ 1993 Jan-Jun           1
 2153 │ 1993 Jul               7
 2154 │ 1993 Jul 5             1
 2155 │ 1993 Jun              11
 2156 │ 1993 Jun 10            1
 2157 │ 1993 Jun 15            1
 2158 │ 1993 Mar               9
 2159 │ 1993 Mar 1             1
 2160 │ 1993 Mar 22            1
 2161 │ 1993 Mar 3             1
 2162 │ 1993 Mar-Apr           3
 2163 │ 1993 May              13
 2164 │ 1993 May 15            1
 2165 │ 1993 May-Jun           3
 2166 │ 1993 Nov              10
 2167 │ 1993 Nov 1             1
 2168 │ 1993 Nov 15            1
 2169 │ 1993 Nov 25            1
 2170 │ 1993 Nov-Dec           1
 2171 │ 1993 Oct              14
 2172 │ 1993 Oct 1             1
 2173 │ 1993 Oct 15            1
 2174 │ 1993 Oct 16            1
 2175 │ 1993 Oct 27            1
 2176 │ 1993 Oct 9             1
 2177 │ 1993 Oct-Dec           1
 2178 │ 1993 Sep               6
 2179 │ 1993 Sep 15            1
 2180 │ 1993 Sep 30            1
 2181 │ 1993 Sep 6             1
 2182 │ 1993 Sep-Oct           2
 2183 │ 1994                  22
 2184 │ 1994 Apr               8
 2185 │ 1994 Apr 2             1
 2186 │ 1994 Apr 21            1
 2187 │ 1994 Aug              17
 2188 │ 1994 Aug 5             1
 2189 │ 1994 Dec               9
 2190 │ 1994 Dec 1             1
 2191 │ 1994 Feb               6
 2192 │ 1994 Feb 1             1
 2193 │ 1994 Jan               9
 2194 │ 1994 Jan 1             1
 2195 │ 1994 Jan-Feb           4
 2196 │ 1994 Jul               6
 2197 │ 1994 Jul 1             1
 2198 │ 1994 Jul 11            1
 2199 │ 1994 Jul 15            1
 2200 │ 1994 Jul 30            2
 2201 │ 1994 Jul-Aug           3
 2202 │ 1994 Jun              10
 2203 │ 1994 Jun 20-27         1
 2204 │ 1994 Jun 7             1
 2205 │ 1994 Mar              12
 2206 │ 1994 Mar 1             2
 2207 │ 1994 Mar 28            1
 2208 │ 1994 Mar-Apr           2
 2209 │ 1994 May              15
 2210 │ 1994 May-Jun           2
 2211 │ 1994 Nov               7
 2212 │ 1994 Nov 1             3
 2213 │ 1994 Nov 12            1
 2214 │ 1994 Nov-Dec           1
 2215 │ 1994 Oct              13
 2216 │ 1994 Oct 15            1
 2217 │ 1994 Sep              10
 2218 │ 1994 Sep 1             1
 2219 │ 1994 Sep 10            1
 2220 │ 1994 Sep 12            1
 2221 │ 1994 Sep 15            1
 2222 │ 1994 Sep 17            1
 2223 │ 1994 Sep-Oct           1
 2224 │ 1995                  22
 2225 │ 1995 Apr               7
 2226 │ 1995 Apr 24            1
 2227 │ 1995 Aug              11
 2228 │ 1995 Aug 12            1
 2229 │ 1995 Aug 15            1
 2230 │ 1995 Aug 3             2
 2231 │ 1995 Dec              40
 2232 │ 1995 Dec 21            3
 2233 │ 1995 Feb               5
 2234 │ 1995 Feb 10            1
 2235 │ 1995 Feb 15            1
 2236 │ 1995 Jan              11
 2237 │ 1995 Jan 1             2
 2238 │ 1995 Jan-Mar           1
 2239 │ 1995 Jul              14
 2240 │ 1995 Jul-Aug           3
 2241 │ 1995 Jul-Sep           1
 2242 │ 1995 Jun               6
 2243 │ 1995 Jun 17            1
 2244 │ 1995 Jun 2             1
 2245 │ 1995 Mar               8
 2246 │ 1995 Mar 1             1
 2247 │ 1995 Mar 15            2
 2248 │ 1995 Mar-Apr           4
 2249 │ 1995 May              12
 2250 │ 1995 May 15            1
 2251 │ 1995 May 22            1
 2252 │ 1995 May 3-16          1
 2253 │ 1995 Nov              10
 2254 │ 1995 Nov 1             1
 2255 │ 1995 Nov 10            1
 2256 │ 1995 Nov 15            1
 2257 │ 1995 Nov 24            1
 2258 │ 1995 Nov-Dec           1
 2259 │ 1995 Oct              12
 2260 │ 1995 Oct 1             1
 2261 │ 1995 Oct 10            1
 2262 │ 1995 Sep               7
 2263 │ 1995 Sep 15            3
 2264 │ 1995 Sep 17            1
 2265 │ 1995 Sep 9             1
 2266 │ 1995 Sep-Dec           1
 2267 │ 1995 Sep-Oct           3
 2268 │ 1996                  38
 2269 │ 1996 Apr              10
 2270 │ 1996 Apr 15            1
 2271 │ 1996 Apr 27            1
 2272 │ 1996 Aug              10
 2273 │ 1996 Aug 15            1
 2274 │ 1996 Aug-Sep           1
 2275 │ 1996 Dec              12
 2276 │ 1996 Dec 1             1
 2277 │ 1996 Dec 14            1
 2278 │ 1996 Dec 15            1
 2279 │ 1996 Dec 16            1
 2280 │ 1996 Dec 17            1
 2281 │ 1996 Feb               4
 2282 │ 1996 Jan              12
 2283 │ 1996 Jan 1             1
 2284 │ 1996 Jan 10            1
 2285 │ 1996 Jan 27            1
 2286 │ 1996 Jan-Feb           3
 2287 │ 1996 Jul               7
 2288 │ 1996 Jul 1             3
 2289 │ 1996 Jul 17            1
 2290 │ 1996 Jul-Sep           1
 2291 │ 1996 Jun               8
 2292 │ 1996 Jun 14            1
 2293 │ 1996 Jun 15            1
 2294 │ 1996 Mar               6
 2295 │ 1996 Mar 15            1
 2296 │ 1996 Mar 16            1
 2297 │ 1996 Mar 27            1
 2298 │ 1996 Mar 30            1
 2299 │ 1996 Mar-Apr           1
 2300 │ 1996 May              18
 2301 │ 1996 May 1             2
 2302 │ 1996 May-Jun           1
 2303 │ 1996 Nov               7
 2304 │ 1996 Nov 1             1
 2305 │ 1996 Nov 15            1
 2306 │ 1996 Nov 2             1
 2307 │ 1996 Nov 23            1
 2308 │ 1996 Nov 30            1
 2309 │ 1996 Oct               9
 2310 │ 1996 Oct 11            1
 2311 │ 1996 Oct 12            1
 2312 │ 1996 Oct 13            1
 2313 │ 1996 Oct-Nov           1
 2314 │ 1996 Sep              12
 2315 │ 1996 Sep 1             1
 2316 │ 1996 Sep 15            1
 2317 │ 1996 Sep 20            1
 2318 │ 1996 Sep-Oct           3
 2319 │ 1997                  27
 2320 │ 1997 Apr              11
 2321 │ 1997 Apr 1             1
 2322 │ 1997 Apr 25            1
 2323 │ 1997 Aug               7
 2324 │ 1997 Aug 19            1
 2325 │ 1997 Aug 8             1
 2326 │ 1997 Dec              13
 2327 │ 1997 Dec 10            2
 2328 │ 1997 Dec 3             1
 2329 │ 1997 Dec 31            1
 2330 │ 1997 Feb               9
 2331 │ 1997 Feb 1             1
 2332 │ 1997 Feb 4             2
 2333 │ 1997 Jan               9
 2334 │ 1997 Jan 21            1
 2335 │ 1997 Jan 7             2
 2336 │ 1997 Jan-Feb           2
 2337 │ 1997 Jul               7
 2338 │ 1997 Jul 1             1
 2339 │ 1997 Jul 15            2
 2340 │ 1997 Jun              18
 2341 │ 1997 Jun 26            1
 2342 │ 1997 Jun 27            2
 2343 │ 1997 Jun 3             1
 2344 │ 1997 Mar              10
 2345 │ 1997 Mar 18            1
 2346 │ 1997 Mar 20            1
 2347 │ 1997 Mar-Apr           1
 2348 │ 1997 May              14
 2349 │ 1997 May-Jun           2
 2350 │ 1997 Nov               7
 2351 │ 1997 Nov 1             1
 2352 │ 1997 Nov 18            1
 2353 │ 1997 Nov-Dec           2
 2354 │ 1997 Oct               6
 2355 │ 1997 Oct 13            1
 2356 │ 1997 Oct-Dec           1
 2357 │ 1997 Sep              13
 2358 │ 1997 Sep 16            1
 2359 │ 1997 Sep-Oct           2
 2360 │ 1998                  16
 2361 │ 1998 Apr               6
 2362 │ 1998 Apr 15            6
 2363 │ 1998 Apr 3             1
 2364 │ 1998 Apr-Jun           1
 2365 │ 1998 Aug              11
 2366 │ 1998 Aug 10-24         1
 2367 │ 1998 Aug 15            1
 2368 │ 1998 Aug 24            1
 2369 │ 1998 Dec              12
 2370 │ 1998 Dec 1             1
 2371 │ 1998 Dec 5             1
 2372 │ 1998 Feb               8
 2373 │ 1998 Feb 24            1
 2374 │ 1998 Jan              10
 2375 │ 1998 Jan 23            1
 2376 │ 1998 Jan 3             1
 2377 │ 1998 Jan-Feb           1
 2378 │ 1998 Jul               9
 2379 │ 1998 Jul 10            1
 2380 │ 1998 Jul 15            1
 2381 │ 1998 Jul 27            1
 2382 │ 1998 Jul-Sep           1
 2383 │ 1998 Jun              11
 2384 │ 1998 Jun 1             1
 2385 │ 1998 Jun 30            1
 2386 │ 1998 Jun 8             1
 2387 │ 1998 Mar               2
 2388 │ 1998 Mar 15            2
 2389 │ 1998 Mar 17            1
 2390 │ 1998 Mar 23            1
 2391 │ 1998 Mar 3             1
 2392 │ 1998 Mar 9             1
 2393 │ 1998 Mar-Apr           3
 2394 │ 1998 May              11
 2395 │ 1998 May 10            1
 2396 │ 1998 May 12            1
 2397 │ 1998 May 9             1
 2398 │ 1998 May-Jun           2
 2399 │ 1998 Nov              14
 2400 │ 1998 Nov 1             1
 2401 │ 1998 Nov 26            1
 2402 │ 1998 Nov-Dec           1
 2403 │ 1998 Oct               9
 2404 │ 1998 Oct 1             3
 2405 │ 1998 Oct 15            2
 2406 │ 1998 Oct-Dec           3
 2407 │ 1998 Sep              12
 2408 │ 1998 Sep 1             1
 2409 │ 1998 Sep 15            1
 2410 │ 1998 Sep 30            1
 2411 │ 1998 Sep 8             1
 2412 │ 1999                  31
 2413 │ 1999 Apr              13
 2414 │ 1999 Apr 13            1
 2415 │ 1999 Apr 2             1
 2416 │ 1999 Apr 20            1
 2417 │ 1999 Apr 24            1
 2418 │ 1999 Apr-May           2
 2419 │ 1999 Aug              17
 2420 │ 1999 Aug 1             1
 2421 │ 1999 Aug 25            1
 2422 │ 1999 Dec               8
 2423 │ 1999 Dec 10            1
 2424 │ 1999 Dec 4             1
 2425 │ 1999 Feb               8
 2426 │ 1999 Feb 15            1
 2427 │ 1999 Feb 23            2
 2428 │ 1999 Feb 26            2
 2429 │ 1999 Jan              10
 2430 │ 1999 Jan 26            1
 2431 │ 1999 Jul               4
 2432 │ 1999 Jul 10            1
 2433 │ 1999 Jul-Aug           2
