*** COUNTS ***
1072×2 DataFrame
  Row │ DP                              N
      │ String31                        Int64
──────┼───────────────────────────────────────
  287 │ 2020 Mar-Jun                        3
  288 │ 2020 Mar/Apr                        4
  289 │ 2020 March-April,                   3
  290 │ 2020 Mars                           1
  291 │ 2020 May                         1499
  292 │ 2020 May - Jun                    116
  293 │ 2020 May 1                        134
  294 │ 2020 May 10                        14
  295 │ 2020 May 11                        86
  296 │ 2020 May 12                        56
  297 │ 2020 May 13                        44
  298 │ 2020 May 14                        80
  299 │ 2020 May 15                        77
  300 │ 2020 May 16                        36
  301 │ 2020 May 17                        14
  302 │ 2020 May 18                        65
  303 │ 2020 May 19                        77
  304 │ 2020 May 2                         42
  305 │ 2020 May 20                        35
  306 │ 2020 May 21                        70
  307 │ 2020 May 22                        44
  308 │ 2020 May 23                        24
  309 │ 2020 May 24                        14
  310 │ 2020 May 25                        66
  311 │ 2020 May 26                        96
  312 │ 2020 May 27                        35
  313 │ 2020 May 28                        90
  314 │ 2020 May 29                        73
  315 │ 2020 May 3                          6
  316 │ 2020 May 30                        44
  317 │ 2020 May 31                        14
  318 │ 2020 May 4                         43
  319 │ 2020 May 5                         72
  320 │ 2020 May 6                         57
  321 │ 2020 May 7                         69
  322 │ 2020 May 8                         66
  323 │ 2020 May 9                         25
  324 │ 2020 May-Aug                       24
  325 │ 2020 May-Jun                       92
  326 │ 2020 May-June,                      1
  327 │ 2020 May/Jun                       25
  328 │ 2020 Nov                         4120
  329 │ 2020 Nov - Dec                    212
  330 │ 2020 Nov 1                        303
  331 │ 2020 Nov 10                       150
  332 │ 2020 Nov 11                        57
  333 │ 2020 Nov 12                        82
  334 │ 2020 Nov 13                        84
  335 │ 2020 Nov 14                        32
  336 │ 2020 Nov 15                        92
  337 │ 2020 Nov 16                        86
  338 │ 2020 Nov 17                        92
  339 │ 2020 Nov 18                        84
  340 │ 2020 Nov 19                       133
  341 │ 2020 Nov 2                        114
  342 │ 2020 Nov 20                        88
  343 │ 2020 Nov 21                        36
