*** COUNTS ***
445×2 DataFrame
 Row │ PM          N
     │ String15    Int64
─────┼───────────────────
 401 │ 2022/02/16      1
 402 │ 2022/02/17      1
 403 │ 2022/02/18      3
 404 │ 2022/02/19      2
 405 │ 2022/02/22      1
 406 │ 2022/02/23      1
 407 │ 2022/02/24      1
 408 │ 2022/02/25      3
 409 │ 2022/02/26      2
 410 │ 2022/02/27      1
 411 │ 2022/03/01      6
 412 │ 2022/03/02      3
 413 │ 2022/03/03      2
 414 │ 2022/03/04      1
 415 │ 2022/03/08      2
 416 │ 2022/03/09      2
 417 │ 2022/03/10      1
 418 │ 2022/03/11      4
 419 │ 2022/03/12      2
 420 │ 2022/03/15      1
 421 │ 2022/03/16      2
 422 │ 2022/03/17      1
 423 │ 2022/03/18      1
 424 │ 2022/03/21      1
 425 │ 2022/03/22      3
 426 │ 2022/03/24      2
 427 │ 2022/03/25      3
 428 │ 2022/03/26      4
 429 │ 2022/03/27      1
 430 │ 2022/03/29      2
 431 │ 2022/03/30      3
 432 │ 2022/03/31      1
 433 │ 2022/04/01      1
 434 │ 2022/04/02      1
 435 │ 2022/04/05      4
 436 │ 2022/04/06      4
 437 │ 2022/04/07      1
 438 │ 2022/04/08      1
 439 │ 2022/04/11      1
 440 │ 2022/04/12      3
 441 │ 2022/04/13      3
 442 │ 2022/04/14      2
 443 │ 2022/04/19      3
 444 │ 2022/04/20      1
 445 │ 2022/04/21      1
